,YEAR,MONTH,Price / kg,Season,Average Temperature (°C),Rainfall (mm),Relative Humidity (%),Pressure (mb),Rice Production (mt),Palay Production (mt),Stockpile (mt),Area (ha),Yield ( / ha in mt),Fertilizer Complete (14-14-14),Inflation Rate (%)
214,2007,11.0,30.25,1,26.59,276.79,85.73,1007,14615.0,14615.0,2038.3,3677.0,3.97,850.0,2.9
215,2007,12.0,30.0,0,26.9,190.09,85.16,1007,14615.0,14615.0,2291.5,3677.0,3.97,910.0,2.9
217,2008,2.0,31.0,0,26.61,209.79,83.86,1008,10418.0,10418.0,1834.9,2556.0,4.08,1075.0,8.2
218,2008,3.0,30.0,0,26.76,233.79,84.78,1008,10418.0,10418.0,1688.7,2556.0,4.08,1270.0,8.2
219,2008,4.0,35.25,0,27.15,190.99,83.86,1007,10418.0,10418.0,1891.4,2556.0,4.08,1525.0,8.2
220,2008,5.0,36.25,0,27.01,239.2,85.07,1008,10418.0,10418.0,2265.4,2556.0,4.08,1811.25,8.2
221,2008,6.0,42.4,1,26.63,329.79,85.95,1009,10418.0,10418.0,2209.5,2556.0,4.08,2068.0,8.2
222,2008,7.0,44.75,1,26.47,250.29,85.5,1009,14591.0,14591.0,2185.2,3759.0,3.88,2090.0,8.2
223,2008,8.0,43.6,1,26.62,182.09,84.56,1009,14591.0,14591.0,1902.1,3759.0,3.88,2090.0,8.2
224,2008,9.0,43.0,1,26.88,194.89,84.84,1009,14591.0,14591.0,1923.1,3759.0,3.88,2090.0,8.2
225,2008,10.0,42.0,1,26.93,336.09,85.26,1009,14591.0,14591.0,2177.1,3759.0,3.88,2090.0,8.2
226,2008,11.0,42.0,1,27.02,276.39,85.64,1008,14591.0,14591.0,2937.8,3759.0,3.88,1918.0,8.2
227,2008,12.0,42.0,0,26.9,204.19,84.69,1007,14591.0,14591.0,2954.1,3759.0,3.88,1800.0,8.2
228,2009,1.0,39.2,0,26.55,230.69,84.07,1008,11590.0,11590.0,2638.6,2674.0,4.33,1690.0,4.2
229,2009,2.0,41.25,0,26.89,133.29,82.94,1008,11590.0,11590.0,2279.0,2674.0,4.33,1650.0,4.2
230,2009,3.0,40.25,0,26.93,194.79,84.48,1009,11590.0,11590.0,2167.7,2674.0,4.33,1500.0,4.2
231,2009,4.0,40.0,0,25.43,260.19,84.48,1008,11590.0,11590.0,2478.6,2674.0,4.33,1450.0,4.2
232,2009,5.0,40.0,0,27.32,214.69,85.57,1008,11590.0,11590.0,2683.9,2674.0,4.33,1340.0,4.2
233,2009,6.0,40.0,1,27.12,189.49,85.76,1009,11590.0,11590.0,2683.4,2674.0,4.33,1200.0,4.2
234,2009,7.0,40.0,1,26.76,249.5,85.7,1008,15187.0,15187.0,2776.3,3933.0,3.86,1200.0,4.2
235,2009,8.0,39.5,1,27.2,145.69,85.18,1008,15187.0,15187.0,2380.7,3933.0,3.86,1200.0,4.2
236,2009,9.0,40.0,1,27.2,193.99,85.94,1008,15187.0,15187.0,2322.2,3933.0,3.86,1150.0,4.2
237,2009,10.0,40.2,1,27.16,147.99,84.64,1009,15187.0,15187.0,2322.2,3933.0,3.86,1120.0,4.2
238,2009,11.0,39.0,1,27.35,201.79,83.42,1008,15187.0,15187.0,2958.6,3933.0,3.86,1107.5,4.2
239,2009,12.0,39.0,0,27.2,86.99,80.87,1009,15187.0,15187.0,2897.3,3933.0,3.86,1130.0,4.2
240,2010,1.0,39.2,0,27.0,176.4,85.0,1010,8562.0,8562.0,2629.1,2222.0,3.85,1089.71,3.9
241,2010,2.0,39.0,0,27.0,33.42,81.0,1010,8562.0,8562.0,2463.3,2222.0,3.85,1103.27,3.9
242,2010,3.0,39.0,0,28.0,72.1,82.0,1010,8562.0,8562.0,2251.9,2222.0,3.85,1100.43,3.9
243,2010,4.0,39.6,0,28.0,160.31,85.0,1009,8562.0,8562.0,2773.4,2222.0,3.85,1088.73,4.0
244,2010,5.0,40.0,0,28.0,187.94,85.0,1008,8562.0,8562.0,3322.0,2222.0,3.85,1088.81,3.9
245,2010,6.0,40.0,1,27.0,347.56,87.0,1009,8562.0,8562.0,3357.7,2222.0,3.85,1079.58,3.6
246,2010,7.0,40.0,1,27.0,332.68,86.0,1009,15209.0,15209.0,3353.5,4055.0,3.75,1061.1,3.8
247,2010,8.0,40.0,1,27.0,327.21,79.0,1009,15209.0,15209.0,3184.2,4055.0,3.75,1036.22,4.1
248,2010,9.0,40.0,1,27.0,333.81,77.0,1008,15209.0,15209.0,3034.0,4055.0,3.75,1022.2,3.8
249,2010,10.0,39.0,1,28.0,363.02,81.0,1010,15209.0,15209.0,3151.1,4055.0,3.75,1027.69,3.3
250,2010,11.0,38.75,1,29.0,340.33,79.0,1010,15209.0,15209.0,3794.6,4055.0,3.75,1027.71,3.7
251,2010,12.0,38.0,0,29.0,417.86,79.0,1008,15209.0,15209.0,3908.0,4055.0,3.75,1096.02,3.6
252,2011,1.0,38.2,0,28.0,300.66,80.0,1009,8562.0,8562.0,3424.3,2222.0,3.85,1083.97,4.0
253,2011,2.0,38.95,0,28.0,370.97,78.0,1009,8562.0,8562.0,3049.6,2222.0,3.85,1089.18,4.7
254,2011,3.0,39.0,0,27.0,341.89,86.0,1011,8562.0,8562.0,2853.0,2222.0,3.85,1027.18,4.9
255,2011,4.0,39.0,0,29.0,241.68,77.0,1010,8562.0,8562.0,3080.6,2222.0,3.85,1120.71,4.7
256,2011,5.0,38.25,0,26.0,377.43,92.0,1010,8562.0,8562.0,3396.5,2222.0,3.85,1155.31,4.9
257,2011,6.0,38.0,1,27.0,550.7,87.0,1012,8562.0,8562.0,3093.6,2222.0,3.85,1156.29,5.2
258,2011,7.0,38.4,1,26.0,213.39,88.0,1010,15209.0,15209.0,3021.8,4055.0,3.75,1177.94,4.9
259,2011,8.0,39.25,1,26.0,319.32,88.0,1011,15209.0,15209.0,2720.4,4055.0,3.75,1214.15,4.6
260,2011,9.0,39.5,1,28.0,220.47,81.0,1011,15209.0,15209.0,2415.2,4055.0,3.75,1209.77,4.7
261,2011,10.0,39.0,1,29.0,295.69,80.0,1010,15209.0,15209.0,2739.2,4055.0,3.75,1237.35,5.2
262,2011,11.0,39.0,1,29.0,280.61,79.0,1009,15209.0,15209.0,3216.8,4055.0,3.75,1246.28,4.7
263,2011,12.0,38.0,0,29.0,468.54,81.0,1009,15209.0,15209.0,3097.5,4055.0,3.75,1262.89,4.2
264,2012,1.0,38.5,0,28.0,236.04,81.0,1010,11848.0,11848.0,2627.4,3143.0,3.77,1260.56,4.0
265,2012,2.0,38.0,0,28.0,363.6,80.0,1010,11848.0,11848.0,2331.4,3143.0,3.77,1245.88,2.7
266,2012,3.0,37.2,0,29.0,164.25,76.0,1010,11848.0,11848.0,2012.6,3143.0,3.77,1250.17,2.6
267,2012,4.0,37.75,0,29.0,355.17,79.0,1011,11848.0,11848.0,2637.8,3143.0,3.77,1250.71,3.0
268,2012,5.0,38.25,0,29.0,311.73,79.0,1010,11848.0,11848.0,2673.3,3143.0,3.77,1244.94,2.9
269,2012,6.0,39.0,1,29.0,207.62,78.0,1010,11848.0,11848.0,2287.31,3143.0,3.77,1258.82,2.8
270,2012,7.0,38.75,1,29.0,343.78,80.0,1010,16768.0,16768.0,1915.11,4466.0,3.75,1258.25,3.2
271,2012,8.0,38.5,1,29.0,165.01,79.0,1011,16768.0,16768.0,1616.6,4466.0,3.75,1258.78,3.8
272,2012,9.0,39.0,1,28.0,373.64,83.0,1011,16768.0,16768.0,1441.9,4466.0,3.75,1257.27,3.6
273,2012,10.0,38.25,1,29.0,291.43,80.0,1010,16768.0,16768.0,1999.0,4466.0,3.75,1253.47,3.1
274,2012,11.0,38.0,1,29.0,269.94,80.0,1010,16768.0,16768.0,2784.6,4466.0,3.75,1242.3,2.8
275,2012,12.0,41.0,0,29.0,162.4,78.0,1010,16768.0,16768.0,2613.2,4466.0,3.75,1239.36,2.8
276,2013,1.0,44.7,0,28.0,282.69,79.0,1011,12378.0,12378.0,2524.2,3089.0,4.01,1235.0,2.8
277,2013,2.0,46.37,0,29.0,214.76,75.0,1010,12378.0,12378.0,2023.6,3089.0,4.01,1222.5,2.9
278,2013,3.0,46.37,0,29.0,103.04,74.0,1011,12378.0,12378.0,1938.6,3089.0,4.01,1242.0,2.7
279,2013,4.0,46.37,0,29.0,328.23,78.0,1010,12378.0,12378.0,2327.6,3089.0,4.01,1250.0,2.2
280,2013,5.0,46.37,0,29.0,440.19,80.0,1011,12378.0,12378.0,2614.4,3089.0,4.01,1220.0,2.3
281,2013,6.0,46.37,1,29.0,316.67,80.0,1009,12378.0,12378.0,2313.5,3089.0,4.01,1212.0,2.5
282,2013,7.0,46.37,1,28.0,443.7,80.0,1010,15174.0,15174.0,2194.06,4242.0,3.58,1207.5,2.4
283,2013,8.0,46.37,1,28.0,387.51,81.0,1011,15174.0,15174.0,1859.5,4242.0,3.58,1190.0,1.8
284,2013,9.0,46.37,1,29.0,195.78,79.0,1010,15174.0,15174.0,1530.31,4242.0,3.58,1185.0,2.3
285,2013,10.0,46.37,1,28.0,457.66,83.0,1011,15174.0,15174.0,1771.3,4242.0,3.58,1155.0,2.4
286,2013,11.0,46.37,1,29.0,309.81,79.0,1010,15174.0,15174.0,2438.7,4242.0,3.58,1155.0,2.9
287,2013,12.0,46.37,0,28.0,168.53,81.0,1010,15174.0,15174.0,2492.9,4242.0,3.58,1175.0,3.8
288,2014,1.0,47.56,0,28.0,216.33,77.0,1011,10334.0,10334.0,2125.5,2673.0,3.87,1217.5,3.7
289,2014,2.0,48.75,0,28.0,180.3,74.0,1012,10334.0,10334.0,2003.81,2673.0,3.87,1200.0,3.6
290,2014,3.0,48.75,0,29.0,106.03,74.0,1012,10334.0,10334.0,1784.78,2673.0,3.87,1300.0,3.5
291,2014,4.0,48.75,0,29.0,111.48,78.0,1011,10334.0,10334.0,2182.48,2673.0,3.87,1324.0,3.6
292,2014,5.0,48.75,0,29.0,376.89,80.0,1011,10334.0,10334.0,2520.18,2673.0,3.87,1320.0,4.0
293,2014,6.0,48.75,1,29.0,243.63,79.0,1010,10334.0,10334.0,2306.16,2673.0,3.87,1290.0,3.8
294,2014,7.0,48.75,1,29.0,214.68,81.0,1011,17121.0,17121.0,2025.01,4538.0,3.77,1270.0,4.2
295,2014,8.0,48.75,1,29.0,268.83,81.0,1012,17121.0,17121.0,1721.78,4538.0,3.77,1228.0,4.2
296,2014,9.0,49.0,1,28.0,251.48,82.0,1012,17121.0,17121.0,1488.72,4538.0,3.77,1200.0,3.9
297,2014,10.0,45.88,1,29.0,319.72,83.0,1011,17121.0,17121.0,1805.31,4538.0,3.77,1290.0,3.7
298,2014,11.0,45.63,1,29.0,243.46,80.0,1011,17121.0,17121.0,2952.74,4538.0,3.77,1344.0,3.0
299,2014,12.0,47.0,0,29.0,152.98,78.0,1010,17121.0,17121.0,3031.53,4538.0,3.77,1352.5,1.9
300,2015,1.0,46.88,0,29.0,163.4,77.0,1012,8780.0,8780.0,2662.05,2395.0,3.67,1294.0,1.5
301,2015,2.0,45.63,0,29.0,41.13,74.0,1012,8780.0,8780.0,2350.6,2395.0,3.67,1280.0,1.5
302,2015,3.0,45.63,0,29.0,58.79,71.0,1013,8780.0,8780.0,2265.51,2395.0,3.67,1250.0,1.5
303,2015,4.0,46.13,0,30.0,181.58,78.0,1011,8780.0,8780.0,2542.68,2395.0,3.67,1197.5,1.4
304,2015,5.0,46.13,0,30.0,308.69,80.0,1012,8780.0,8780.0,3167.25,2395.0,3.67,1258.0,0.9
305,2015,6.0,46.38,1,29.0,432.45,83.0,1011,8780.0,8780.0,3019.42,2395.0,3.67,1217.5,0.6
306,2015,7.0,47.25,1,29.0,338.64,80.0,1012,8780.0,19723.0,2568.19,5150.0,3.83,1200.0,0.2
307,2015,8.0,48.75,1,29.0,435.63,81.0,1012,8780.0,19723.0,2244.38,5150.0,3.83,1200.0,0.0
308,2015,9.0,47.0,1,29.0,365.78,82.0,1012,8780.0,19723.0,1955.5,5150.0,3.83,1237.5,-0.4
309,2015,10.0,45.88,1,29.0,320.79,82.0,1013,8780.0,19723.0,2196.18,5150.0,3.83,1230.0,-0.2
310,2015,11.0,45.63,1,29.0,442.17,81.0,1011,8780.0,19723.0,3107.3,5150.0,3.83,1230.0,0.3
311,2015,12.0,46.0,0,29.0,145.31,74.0,1012,8780.0,19723.0,3441.41,5150.0,3.83,1205.0,0.7
312,2016,1.0,46.0,0,29.0,28.37,71.0,1014,7165.0,7165.0,3198.79,2220.0,3.23,1180.0,0.7
313,2016,2.0,47.0,0,29.0,74.8,72.0,1013,7165.0,7165.0,2942.84,2220.0,3.23,1180.0,0.5
314,2016,3.0,46.0,0,29.0,36.72,70.0,1013,7165.0,7165.0,2674.17,2220.0,3.23,1180.0,0.6
315,2016,4.0,46.0,0,30.0,187.97,72.0,1012,7165.0,7165.0,3359.01,2220.0,3.23,1180.0,0.7
316,2016,5.0,46.0,0,30.0,367.68,76.0,1011,7165.0,7165.0,3689.41,2220.0,3.23,1180.0,0.9
317,2016,6.0,48.63,1,29.0,750.33,78.0,1012,7165.0,7165.0,3235.29,2220.0,3.23,1180.0,1.3
318,2016,7.0,48.63,1,29.0,494.58,79.0,1011,20851.0,20851.0,2733.64,5295.0,3.94,1180.0,1.3
319,2016,8.0,48.63,1,29.0,381.29,78.0,1011,20851.0,20851.0,2103.16,5295.0,3.94,1180.0,1.3
320,2016,9.0,48.88,1,28.0,686.52,79.0,1011,20851.0,20851.0,1775.76,5295.0,3.94,1170.0,1.7
321,2016,10.0,48.88,1,29.0,593.78,80.0,1011,20851.0,20851.0,2286.57,5295.0,3.94,1144.0,1.8
322,2016,11.0,48.38,1,29.0,534.11,78.0,1010,20851.0,20851.0,3302.33,5295.0,3.94,1147.5,2.1
323,2016,12.0,48.38,0,29.0,481.04,78.0,1010,20851.0,20851.0,3338.98,5295.0,3.94,1140.0,2.2
324,2017,1.0,48.5,0,28.0,262.45,78.0,1011,12378.0,12378.0,2765.12,3089.0,4.01,1137.5,2.5
325,2017,2.0,48.38,0,28.0,120.19,73.0,1012,12378.0,12378.0,2296.32,3089.0,4.01,1130.0,3.1
326,2017,3.0,48.38,0,28.0,278.71,77.0,1012,12378.0,12378.0,2176.2,3089.0,4.01,1130.0,3.1
327,2017,4.0,48.25,0,29.0,312.01,77.0,1012,12378.0,12378.0,2675.55,3089.0,4.01,1122.0,3.2
328,2017,5.0,48.0,0,29.0,946.73,79.0,1011,12378.0,12378.0,3214.18,3089.0,4.01,1112.5,2.9
329,2017,6.0,48.5,1,29.0,743.92,79.0,1012,12378.0,12378.0,2572.94,3089.0,4.01,1115.0,2.5
330,2017,7.0,48.0,1,28.0,565.32,79.0,1012,15174.0,15174.0,2347.9,4242.0,3.58,1120.0,2.4
331,2017,8.0,48.81,1,29.0,853.39,79.0,1011,15174.0,15174.0,2028.0,4242.0,3.58,1120.0,2.6
332,2017,9.0,49.0,1,29.0,684.63,78.0,1012,15174.0,15174.0,1422.84,4242.0,3.58,1120.0,3.0
333,2017,10.0,48.88,1,28.0,561.02,81.0,1010,15174.0,15174.0,1935.87,4242.0,3.58,1110.0,3.1
334,2017,11.0,49.13,1,29.0,446.54,77.0,1009,15174.0,15174.0,2958.73,4242.0,3.58,1120.0,3.0
335,2017,12.0,49.13,0,28.0,446.8,80.0,1009,15174.0,15174.0,2849.37,4242.0,3.58,1140.0,2.9
336,2018,1.0,54.68,0,28.0,425.66,79.0,1008,11317.0,11317.0,2289.65,2943.0,3.85,1117.5,3.4
337,2018,2.0,54.41,0,28.0,261.09,76.0,1010,11317.0,11317.0,1795.78,2943.0,3.85,1110.0,3.7
338,2018,3.0,54.22,0,29.0,118.77,72.0,1009,11317.0,11317.0,1697.37,2943.0,3.85,1110.0,4.3
339,2018,4.0,54.96,0,29.0,413.68,76.0,1009,11317.0,11317.0,2182.67,2943.0,3.85,1117.5,4.3
340,2018,5.0,54.28,0,29.0,591.63,78.0,1008,11317.0,11317.0,2909.46,2943.0,3.85,1120.0,4.6
341,2018,6.0,54.28,1,29.0,467.11,78.0,1009,11317.0,11317.0,2360.98,2943.0,3.85,1120.0,5.0
342,2018,7.0,54.28,1,29.0,450.7,78.0,1008,18193.28,18193.28,1990.82,4975.0,3.66,1125.0,5.8
343,2018,8.0,55.1,1,29.0,343.34,78.0,1009,18193.28,18193.28,1520.76,4975.0,3.66,1130.0,6.6
344,2018,9.0,58.91,1,28.0,364.58,79.0,1009,18193.28,18193.28,1168.03,4975.0,3.66,1134.0,6.9
